model_name,task_name,few-shot,zero-shot,few_minus_zero,few_vs_zero_pct
Qwen/Qwen3-8B,analogies_all,0.4898680810553515,0.4217870257037944,0.06808105535155712,16.14109756883986
Qwen/Qwen3-8B,analogies_high,0.50875,0.4422916666666667,0.06645833333333334,15.025906735751295
Qwen/Qwen3-8B,analogies_low,0.387,0.353,0.03400000000000003,9.631728045325788
Qwen/Qwen3-8B,analogies_medium,0.449,0.4013333333333333,0.04766666666666669,11.87707641196014
Qwen/Qwen3-8B,analogies_mono,0.7181818181818181,0.5781818181818181,0.14,24.213836477987428
Qwen/Qwen3-8B,gloss_all,0.7026666666666667,0.6013333333333334,0.10133333333333328,16.851441241685134
Qwen/Qwen3-8B,gloss_high,0.8114478114478114,0.7184343434343434,0.09301346801346799,12.946690099589922
Qwen/Qwen3-8B,gloss_low,0.5464646464646464,0.4762626262626263,0.07020202020202015,14.74019088016966
Qwen/Qwen3-8B,gloss_medium,0.7252525252525253,0.6154882154882155,0.10976430976430973,17.83369803063457
Qwen/Qwen3-8B,gloss_mono,0.98816029143898,0.7504553734061931,0.23770491803278693,31.674757281553408
Qwen/Qwen3-8B,hypernymy_all,0.554984360125119,0.4518155854753162,0.10316877464980279,22.834266449942806
Qwen/Qwen3-8B,hypernymy_high,0.608125,0.483125,0.125,25.873221216041397
Qwen/Qwen3-8B,hypernymy_low,0.51,0.4385,0.07150000000000001,16.305587229190426
Qwen/Qwen3-8B,hypernymy_medium,0.61,0.4836666666666667,0.1263333333333333,26.11991729841488
Qwen/Qwen3-8B,hypernymy_mono,0.7571297148114076,0.4940202391904323,0.26310947562097525,53.25884543761641
Qwen/Qwen3-8B,meronymy_all,0.4254317965456276,0.3359989120087039,0.08943288453692372,26.617016109447107
Qwen/Qwen3-8B,meronymy_high,0.49875,0.3702083333333333,0.12854166666666672,34.721440630275765
Qwen/Qwen3-8B,meronymy_low,0.417,0.3335,0.08349999999999996,25.037481259370303
Qwen/Qwen3-8B,meronymy_medium,0.449,0.4013333333333333,0.04766666666666669,11.87707641196014
Qwen/Qwen3-8B,meronymy_mono,0.7175712971481141,0.4103035878564857,0.3072677092916284,74.88789237668165
google/gemma-3-1b-it,analogies_all,0.3810689514483884,0.3569971440228478,0.024071807425540603,6.742857142857145
google/gemma-3-1b-it,analogies_high,0.41875,0.3772916666666667,0.04145833333333332,10.988404196576472
google/gemma-3-1b-it,analogies_low,0.322,0.3045,0.017500000000000016,5.747126436781615
google/gemma-3-1b-it,analogies_medium,0.3596666666666667,0.3356666666666666,0.024000000000000077,7.149950347567055
google/gemma-3-1b-it,analogies_mono,0.5518181818181818,0.4027272727272727,0.14909090909090905,37.02031602708803
google/gemma-3-1b-it,gloss_all,0.4933333333333333,0.4133333333333333,0.08000000000000002,19.354838709677427
google/gemma-3-1b-it,gloss_high,0.6191077441077442,0.4659090909090909,0.15319865319865328,32.881662149954856
google/gemma-3-1b-it,gloss_low,0.3555555555555555,0.3424242424242424,0.013131313131313105,3.834808259587013
google/gemma-3-1b-it,gloss_medium,0.4959595959595959,0.4,0.09595959595959586,23.989898989898965
google/gemma-3-1b-it,gloss_mono,0.9207650273224044,0.4717668488160291,0.4489981785063753,95.17374517374519
google/gemma-3-1b-it,hypernymy_all,0.4358765129878961,0.4017407860737114,0.034135726914184705,8.496953283683146
google/gemma-3-1b-it,hypernymy_high,0.5225,0.4364583333333333,0.08604166666666668,19.71360381861576
google/gemma-3-1b-it,hypernymy_low,0.396,0.3665,0.029500000000000026,8.049113233287866
google/gemma-3-1b-it,hypernymy_medium,0.4826666666666667,0.4163333333333333,0.06633333333333341,15.932746196957586
google/gemma-3-1b-it,hypernymy_mono,0.6734130634774609,0.5050597976080957,0.16835326586936517,33.33333333333332
google/gemma-3-1b-it,meronymy_all,0.3526451788385693,0.3204678362573099,0.03217734258125937,10.040740112035316
google/gemma-3-1b-it,meronymy_high,0.4225,0.339375,0.083125,24.49355432780847
google/gemma-3-1b-it,meronymy_low,0.3615,0.3005,0.061,20.299500831946755
google/gemma-3-1b-it,meronymy_medium,0.3596666666666667,0.3356666666666666,0.024000000000000077,7.149950347567055
google/gemma-3-1b-it,meronymy_mono,0.5952161913523459,0.4645814167433302,0.13063477460901574,28.118811881188144
google/gemma-7b-it,analogies_all,0.3755745954032368,0.3556643546851625,0.01991024071807429,5.59804221474458
google/gemma-7b-it,analogies_high,0.364375,0.3547916666666666,0.009583333333333388,2.7011156782149306
google/gemma-7b-it,analogies_low,0.3115,0.3175,-0.006000000000000005,-1.8897637795275608
google/gemma-7b-it,analogies_medium,0.331,0.3286666666666666,0.0023333333333334094,0.7099391480730456
google/gemma-7b-it,analogies_mono,0.5927272727272728,0.5390909090909091,0.053636363636363704,9.94940978077573
google/gemma-7b-it,gloss_all,0.652,0.5586666666666666,0.09333333333333338,16.706443914081152
google/gemma-7b-it,gloss_high,0.7489478114478114,0.647516835016835,0.10143097643097643,15.66460838479038
google/gemma-7b-it,gloss_low,0.5191919191919192,0.4676767676767677,0.051515151515151514,11.01511879049676
google/gemma-7b-it,gloss_medium,0.6616161616161617,0.5579124579124579,0.10370370370370374,18.58780929390465
google/gemma-7b-it,gloss_mono,0.965391621129326,0.7896174863387978,0.17577413479052817,22.260668973471734
google/gemma-7b-it,hypernymy_all,0.4855977152182782,0.3944784441724466,0.09111927104583162,23.09866924084672
google/gemma-7b-it,hypernymy_high,0.5591666666666667,0.4125,0.14666666666666672,35.55555555555557
google/gemma-7b-it,hypernymy_low,0.472,0.3775,0.09449999999999997,25.03311258278145
