language_pair,count,acc_mean,acc_std,acc_norm_mean,acc_norm_std
es_to_da,45,0.3333,0.4767,0.4444,0.5025
es_to_de,45,0.4444,0.5025,0.4222,0.4995
es_to_el,45,0.3778,0.4903,0.3778,0.4903
es_to_en,45,0.6,0.4954,0.6667,0.4767
es_to_et,45,0.2444,0.4346,0.2222,0.4204
es_to_fa,45,0.2889,0.4584,0.3333,0.4767
es_to_fi,45,0.2667,0.4472,0.3333,0.4767
es_to_fr,45,0.4444,0.5025,0.3778,0.4903
es_to_ga,45,0.4222,0.4995,0.2889,0.4584
es_to_he,45,0.4889,0.5055,0.3556,0.4841
es_to_hi,45,0.4,0.4954,0.3556,0.4841
es_to_hr,45,0.3778,0.4903,0.4,0.4954
es_to_hu,45,0.4444,0.5025,0.4667,0.5045
es_to_id,45,0.5111,0.5055,0.6,0.4954
es_to_is,45,0.4222,0.4995,0.4,0.4954
es_to_it,45,0.5333,0.5045,0.4222,0.4995
es_to_ja,45,0.3778,0.4903,0.4444,0.5025
es_to_ka,45,0.3333,0.4767,0.2889,0.4584
es_to_ko,45,0.4889,0.5055,0.4667,0.5045
es_to_lt,45,0.3778,0.4903,0.4,0.4954
es_to_lv,45,0.2444,0.4346,0.4667,0.5045
es_to_ms,45,0.3111,0.4682,0.4889,0.5055
es_to_mt,45,0.2889,0.4584,0.4,0.4954
es_to_nl,45,0.4667,0.5045,0.5333,0.5045
es_to_no,45,0.4,0.4954,0.4222,0.4995
es_to_pl,45,0.4,0.4954,0.5111,0.5055
es_to_pt,45,0.4,0.4954,0.3111,0.4682
es_to_ro,45,0.5111,0.5055,0.4667,0.5045
es_to_ru,45,0.4667,0.5045,0.5111,0.5055
es_to_sk,45,0.3111,0.4682,0.4667,0.5045
es_to_sl,45,0.2667,0.4472,0.3111,0.4682
es_to_sr,45,0.3556,0.4841,0.2667,0.4472
es_to_sv,45,0.4667,0.5045,0.3778,0.4903
es_to_sw,45,0.2889,0.4584,0.2222,0.4204
es_to_ta,45,0.3333,0.4767,0.4,0.4954
es_to_th,45,0.3778,0.4903,0.2444,0.4346
es_to_tl,45,0.4,0.4954,0.4,0.4954
es_to_tr,45,0.5111,0.5055,0.4444,0.5025
es_to_uk,45,0.3778,0.4903,0.3778,0.4903
es_to_uz,45,0.3778,0.4903,0.3111,0.4682
es_to_vi,45,0.2889,0.4584,0.4667,0.5045
es_to_zh,45,0.4889,0.5055,0.3111,0.4682
et_to_am,45,0.2444,0.4346,0.1556,0.3665
et_to_ar,45,0.3333,0.4767,0.2222,0.4204
et_to_bg,45,0.4222,0.4995,0.4222,0.4995
et_to_bn,45,0.3556,0.4841,0.3111,0.4682
et_to_bs,45,0.4444,0.5025,0.3778,0.4903
et_to_cs,45,0.4,0.4954,0.4222,0.4995
et_to_cy,45,0.2667,0.4472,0.3778,0.4903
et_to_da,45,0.3778,0.4903,0.3111,0.4682
et_to_de,45,0.4,0.4954,0.2667,0.4472
et_to_el,45,0.3333,0.4767,0.3111,0.4682
et_to_en,45,0.3778,0.4903,0.4444,0.5025
et_to_es,45,0.5778,0.4995,0.4,0.4954
et_to_fa,45,0.3111,0.4682,0.2222,0.4204
et_to_fi,45,0.4222,0.4995,0.4222,0.4995
et_to_fr,45,0.4889,0.5055,0.4222,0.4995
et_to_ga,45,0.4,0.4954,0.2444,0.4346
et_to_he,45,0.3111,0.4682,0.3333,0.4767
et_to_hi,45,0.3556,0.4841,0.4,0.4954
et_to_hr,45,0.3556,0.4841,0.4667,0.5045
et_to_hu,45,0.4222,0.4995,0.3556,0.4841
et_to_id,45,0.3333,0.4767,0.4889,0.5055
et_to_is,45,0.2667,0.4472,0.2667,0.4472
et_to_it,45,0.4444,0.5025,0.3778,0.4903
et_to_ja,45,0.4,0.4954,0.3111,0.4682
et_to_ka,45,0.3778,0.4903,0.3778,0.4903
et_to_ko,45,0.4889,0.5055,0.3556,0.4841
et_to_lt,45,0.3556,0.4841,0.3333,0.4767
et_to_lv,45,0.3333,0.4767,0.2667,0.4472
et_to_ms,45,0.4444,0.5025,0.4889,0.5055
et_to_mt,45,0.3556,0.4841,0.2,0.4045
et_to_nl,45,0.4444,0.5025,0.4444,0.5025
et_to_no,45,0.4,0.4954,0.4889,0.5055
et_to_pl,45,0.3778,0.4903,0.4222,0.4995
et_to_pt,45,0.4889,0.5055,0.4,0.4954
et_to_ro,45,0.2667,0.4472,0.3333,0.4767
et_to_ru,45,0.4444,0.5025,0.4667,0.5045
et_to_sk,45,0.4222,0.4995,0.3333,0.4767
et_to_sl,45,0.4889,0.5055,0.3778,0.4903
et_to_sr,45,0.3333,0.4767,0.3111,0.4682
et_to_sv,45,0.3778,0.4903,0.3333,0.4767
et_to_sw,45,0.4222,0.4995,0.2667,0.4472
et_to_ta,45,0.3111,0.4682,0.3778,0.4903
et_to_th,45,0.4444,0.5025,0.3333,0.4767
et_to_tl,45,0.2667,0.4472,0.2667,0.4472
et_to_tr,45,0.3111,0.4682,0.3556,0.4841
et_to_uk,45,0.4222,0.4995,0.3111,0.4682
et_to_uz,45,0.2667,0.4472,0.4,0.4954
et_to_vi,45,0.2667,0.4472,0.4222,0.4995
et_to_zh,45,0.4667,0.5045,0.4444,0.5025
fa_to_am,45,0.2,0.4045,0.1333,0.3438
fa_to_ar,45,0.4222,0.4995,0.3778,0.4903
fa_to_bg,45,0.4667,0.5045,0.3111,0.4682
fa_to_bn,45,0.4222,0.4995,0.4889,0.5055
fa_to_bs,45,0.4,0.4954,0.4222,0.4995
fa_to_cs,45,0.4222,0.4995,0.3333,0.4767
fa_to_cy,45,0.2667,0.4472,0.2444,0.4346
fa_to_da,45,0.4,0.4954,0.4444,0.5025
fa_to_de,45,0.5111,0.5055,0.4444,0.5025
fa_to_el,45,0.3778,0.4903,0.3111,0.4682
fa_to_en,45,0.6222,0.4903,0.4889,0.5055
fa_to_es,45,0.5333,0.5045,0.5111,0.5055
fa_to_et,45,0.2889,0.4584,0.3111,0.4682
fa_to_fi,45,0.3333,0.4767,0.3556,0.4841
fa_to_fr,45,0.3556,0.4841,0.3556,0.4841
fa_to_ga,45,0.4,0.4954,0.2,0.4045
fa_to_he,45,0.4444,0.5025,0.3778,0.4903
fa_to_hi,45,0.2667,0.4472,0.3556,0.4841
fa_to_hr,45,0.4,0.4954,0.3111,0.4682
fa_to_hu,45,0.4,0.4954,0.2889,0.4584
fa_to_id,45,0.4889,0.5055,0.4,0.4954
fa_to_is,45,0.3778,0.4903,0.2444,0.4346
fa_to_it,45,0.4667,0.5045,0.2889,0.4584
fa_to_ja,45,0.3333,0.4767,0.3111,0.4682
fa_to_ka,45,0.3111,0.4682,0.3556,0.4841
fa_to_ko,45,0.4889,0.5055,0.3778,0.4903
fa_to_lt,45,0.2444,0.4346,0.2222,0.4204
fa_to_lv,45,0.3111,0.4682,0.2444,0.4346
fa_to_ms,45,0.4,0.4954,0.3556,0.4841
fa_to_mt,45,0.2444,0.4346,0.4,0.4954
fa_to_nl,45,0.3778,0.4903,0.3111,0.4682
fa_to_no,45,0.4,0.4954,0.4222,0.4995
fa_to_pl,45,0.4,0.4954,0.4,0.4954
fa_to_pt,45,0.4444,0.5025,0.3556,0.4841
fa_to_ro,45,0.4,0.4954,0.3556,0.4841
fa_to_ru,45,0.4889,0.5055,0.4889,0.5055
fa_to_sk,45,0.3333,0.4767,0.3778,0.4903
fa_to_sl,45,0.4,0.4954,0.3111,0.4682
fa_to_sr,45,0.2222,0.4204,0.4222,0.4995
fa_to_sv,45,0.3778,0.4903,0.3778,0.4903
fa_to_sw,45,0.3111,0.4682,0.2889,0.4584
fa_to_ta,45,0.3111,0.4682,0.3333,0.4767
fa_to_th,45,0.4222,0.4995,0.3333,0.4767
fa_to_tl,45,0.4,0.4954,0.3333,0.4767
fa_to_tr,45,0.4444,0.5025,0.3778,0.4903
fa_to_uk,45,0.4667,0.5045,0.3778,0.4903
fa_to_uz,45,0.2889,0.4584,0.3778,0.4903
fa_to_vi,45,0.3778,0.4903,0.2667,0.4472
fa_to_zh,45,0.4889,0.5055,0.4444,0.5025
fi_to_am,45,0.3111,0.4682,0.1333,0.3438
fi_to_ar,45,0.4,0.4954,0.3111,0.4682
fi_to_bg,45,0.5333,0.5045,0.4889,0.5055
fi_to_bn,45,0.2667,0.4472,0.1778,0.3866
fi_to_bs,45,0.2889,0.4584,0.2667,0.4472
fi_to_cs,45,0.3556,0.4841,0.5111,0.5055
fi_to_cy,45,0.3778,0.4903,0.4889,0.5055
fi_to_da,45,0.4,0.4954,0.3111,0.4682
fi_to_de,45,0.5111,0.5055,0.3333,0.4767
fi_to_el,45,0.3556,0.4841,0.3111,0.4682
fi_to_en,45,0.5333,0.5045,0.5778,0.4995
fi_to_es,45,0.5111,0.5055,0.5333,0.5045
fi_to_et,45,0.3111,0.4682,0.3778,0.4903
fi_to_fa,45,0.4,0.4954,0.4,0.4954
fi_to_fr,45,0.4667,0.5045,0.2889,0.4584
fi_to_ga,45,0.3111,0.4682,0.2889,0.4584
fi_to_he,45,0.4667,0.5045,0.4444,0.5025
fi_to_hi,45,0.2667,0.4472,0.2889,0.4584
fi_to_hr,45,0.3111,0.4682,0.2889,0.4584
fi_to_hu,45,0.3778,0.4903,0.3556,0.4841
fi_to_id,45,0.3556,0.4841,0.5333,0.5045
fi_to_is,45,0.2444,0.4346,0.2222,0.4204
fi_to_it,45,0.4444,0.5025,0.5111,0.5055
fi_to_ja,45,0.5333,0.5045,0.3778,0.4903
fi_to_ka,45,0.2889,0.4584,0.4,0.4954
fi_to_ko,45,0.4,0.4954,0.1111,0.3178
fi_to_lt,45,0.3111,0.4682,0.3556,0.4841
fi_to_lv,45,0.2667,0.4472,0.3556,0.4841
fi_to_ms,45,0.4889,0.5055,0.5556,0.5025
fi_to_mt,45,0.2889,0.4584,0.2889,0.4584
fi_to_nl,45,0.3778,0.4903,0.2667,0.4472
fi_to_no,45,0.3778,0.4903,0.4,0.4954
fi_to_pl,45,0.3333,0.4767,0.4889,0.5055
fi_to_pt,45,0.4,0.4954,0.4222,0.4995
fi_to_ro,45,0.4444,0.5025,0.4667,0.5045
fi_to_ru,45,0.4222,0.4995,0.3778,0.4903
fi_to_sk,45,0.3556,0.4841,0.3778,0.4903
fi_to_sl,45,0.3111,0.4682,0.3556,0.4841
fi_to_sr,45,0.3778,0.4903,0.3333,0.4767
fi_to_sv,45,0.3778,0.4903,0.4667,0.5045
fi_to_sw,45,0.3333,0.4767,0.2667,0.4472
fi_to_ta,45,0.2889,0.4584,0.4222,0.4995
fi_to_th,45,0.2889,0.4584,0.3333,0.4767
fi_to_tl,45,0.3111,0.4682,0.2889,0.4584
fi_to_tr,45,0.5556,0.5025,0.4444,0.5025
fi_to_uk,45,0.3333,0.4767,0.2889,0.4584
fi_to_uz,45,0.4667,0.5045,0.2889,0.4584
fi_to_vi,45,0.3556,0.4841,0.2667,0.4472
fi_to_zh,45,0.4889,0.5055,0.2889,0.4584
fr_to_am,45,0.3778,0.4903,0.1111,0.3178
fr_to_ar,45,0.3556,0.4841,0.2667,0.4472
fr_to_bg,45,0.5556,0.5025,0.4889,0.5055
fr_to_bn,45,0.4667,0.5045,0.4889,0.5055
fr_to_bs,45,0.4222,0.4995,0.4,0.4954
