language_pair,count,acc_mean,acc_std,acc_norm_mean,acc_norm_std
hi_to_bs,45,0.3556,0.4841,0.3111,0.4682
hi_to_cs,45,0.2667,0.4472,0.2444,0.4346
hi_to_cy,45,0.3778,0.4903,0.3778,0.4903
hi_to_da,45,0.4667,0.5045,0.4667,0.5045
hi_to_de,45,0.4889,0.5055,0.4222,0.4995
hi_to_el,45,0.4,0.4954,0.3556,0.4841
hi_to_en,45,0.4444,0.5025,0.4222,0.4995
hi_to_es,45,0.5333,0.5045,0.6222,0.4903
hi_to_et,45,0.2667,0.4472,0.2667,0.4472
hi_to_fa,45,0.4889,0.5055,0.5333,0.5045
hi_to_fi,45,0.3556,0.4841,0.2444,0.4346
hi_to_fr,45,0.4667,0.5045,0.4222,0.4995
hi_to_ga,45,0.4444,0.5025,0.2444,0.4346
hi_to_he,45,0.3111,0.4682,0.3111,0.4682
hi_to_hr,45,0.4,0.4954,0.2889,0.4584
hi_to_hu,45,0.4,0.4954,0.4667,0.5045
hi_to_id,45,0.3333,0.4767,0.4889,0.5055
hi_to_is,45,0.2667,0.4472,0.4,0.4954
hi_to_it,45,0.4889,0.5055,0.5111,0.5055
hi_to_ja,45,0.3778,0.4903,0.3556,0.4841
hi_to_ka,45,0.3556,0.4841,0.3778,0.4903
hi_to_ko,45,0.4667,0.5045,0.3111,0.4682
hi_to_lt,45,0.1333,0.3438,0.2889,0.4584
hi_to_lv,45,0.1778,0.3866,0.3556,0.4841
hi_to_ms,45,0.4222,0.4995,0.5111,0.5055
hi_to_mt,45,0.2889,0.4584,0.2889,0.4584
hi_to_nl,45,0.4889,0.5055,0.3778,0.4903
hi_to_no,45,0.4222,0.4995,0.3556,0.4841
hi_to_pl,45,0.4,0.4954,0.4,0.4954
hi_to_pt,45,0.4444,0.5025,0.5556,0.5025
hi_to_ro,45,0.3111,0.4682,0.3778,0.4903
hi_to_ru,45,0.4444,0.5025,0.4889,0.5055
hi_to_sk,45,0.5333,0.5045,0.4444,0.5025
hi_to_sl,45,0.4889,0.5055,0.4222,0.4995
hi_to_sr,45,0.3333,0.4767,0.4,0.4954
hi_to_sv,45,0.3778,0.4903,0.4222,0.4995
hi_to_sw,45,0.2222,0.4204,0.3111,0.4682
hi_to_ta,45,0.4,0.4954,0.3778,0.4903
hi_to_th,45,0.4,0.4954,0.4222,0.4995
hi_to_tl,45,0.3111,0.4682,0.3333,0.4767
hi_to_tr,45,0.4444,0.5025,0.3111,0.4682
hi_to_uk,45,0.3556,0.4841,0.4667,0.5045
hi_to_uz,45,0.3333,0.4767,0.4,0.4954
hi_to_vi,45,0.3333,0.4767,0.4222,0.4995
hi_to_zh,45,0.4222,0.4995,0.3333,0.4767
hr_to_am,45,0.2667,0.4472,0.1333,0.3438
hr_to_ar,45,0.3778,0.4903,0.4667,0.5045
hr_to_bg,45,0.5111,0.5055,0.3778,0.4903
hr_to_bn,45,0.5111,0.5055,0.3778,0.4903
hr_to_bs,45,0.4444,0.5025,0.2667,0.4472
hr_to_cs,45,0.4,0.4954,0.4222,0.4995
hr_to_cy,45,0.3556,0.4841,0.1778,0.3866
hr_to_da,45,0.3333,0.4767,0.3556,0.4841
hr_to_de,45,0.4222,0.4995,0.4444,0.5025
hr_to_el,45,0.3111,0.4682,0.3778,0.4903
hr_to_en,45,0.5333,0.5045,0.3778,0.4903
hr_to_es,45,0.5556,0.5025,0.5778,0.4995
hr_to_et,45,0.2444,0.4346,0.1556,0.3665
hr_to_fa,45,0.3778,0.4903,0.4,0.4954
hr_to_fi,45,0.4889,0.5055,0.4889,0.5055
hr_to_fr,45,0.4889,0.5055,0.3778,0.4903
hr_to_ga,45,0.2889,0.4584,0.3778,0.4903
hr_to_he,45,0.4222,0.4995,0.3556,0.4841
hr_to_hi,45,0.3778,0.4903,0.3556,0.4841
hr_to_hu,45,0.2444,0.4346,0.3556,0.4841
hr_to_id,45,0.4889,0.5055,0.5111,0.5055
hr_to_is,45,0.4,0.4954,0.4444,0.5025
hr_to_it,45,0.4889,0.5055,0.3556,0.4841
hr_to_ja,45,0.2444,0.4346,0.4222,0.4995
hr_to_ka,45,0.3333,0.4767,0.3111,0.4682
hr_to_ko,45,0.4667,0.5045,0.3556,0.4841
hr_to_lt,45,0.4667,0.5045,0.4889,0.5055
hr_to_lv,45,0.5111,0.5055,0.3778,0.4903
hr_to_ms,45,0.4,0.4954,0.3556,0.4841
hr_to_mt,45,0.3111,0.4682,0.2667,0.4472
hr_to_nl,45,0.4222,0.4995,0.4222,0.4995
hr_to_no,45,0.3111,0.4682,0.4444,0.5025
hr_to_pl,45,0.4,0.4954,0.4667,0.5045
hr_to_pt,45,0.4667,0.5045,0.4889,0.5055
hr_to_ro,45,0.4222,0.4995,0.3333,0.4767
hr_to_ru,45,0.3778,0.4903,0.3778,0.4903
hr_to_sk,45,0.3556,0.4841,0.5778,0.4995
hr_to_sl,45,0.3778,0.4903,0.2889,0.4584
hr_to_sr,45,0.4889,0.5055,0.4222,0.4995
hr_to_sv,45,0.3333,0.4767,0.3556,0.4841
hr_to_sw,45,0.4,0.4954,0.2667,0.4472
hr_to_ta,45,0.3556,0.4841,0.4222,0.4995
hr_to_th,45,0.5111,0.5055,0.4667,0.5045
hr_to_tl,45,0.4444,0.5025,0.3333,0.4767
hr_to_tr,45,0.3556,0.4841,0.4222,0.4995
hr_to_uk,45,0.3111,0.4682,0.3778,0.4903
hr_to_uz,45,0.4,0.4954,0.2667,0.4472
hr_to_vi,45,0.2222,0.4204,0.2667,0.4472
hr_to_zh,45,0.4,0.4954,0.3333,0.4767
hu_to_am,45,0.2667,0.4472,0.1778,0.3866
hu_to_ar,45,0.4889,0.5055,0.4,0.4954
hu_to_bg,45,0.4889,0.5055,0.4444,0.5025
hu_to_bn,45,0.3778,0.4903,0.2889,0.4584
hu_to_bs,45,0.4,0.4954,0.3778,0.4903
hu_to_cs,45,0.3778,0.4903,0.4222,0.4995
hu_to_cy,45,0.4,0.4954,0.2889,0.4584
hu_to_da,45,0.4889,0.5055,0.5556,0.5025
hu_to_de,45,0.3556,0.4841,0.3556,0.4841
hu_to_el,45,0.4667,0.5045,0.3778,0.4903
hu_to_en,45,0.5778,0.4995,0.4444,0.5025
hu_to_es,45,0.6444,0.4841,0.4444,0.5025
hu_to_et,45,0.2889,0.4584,0.3111,0.4682
hu_to_fa,45,0.2444,0.4346,0.3333,0.4767
hu_to_fi,45,0.4222,0.4995,0.3111,0.4682
hu_to_fr,45,0.3556,0.4841,0.4444,0.5025
hu_to_ga,45,0.2222,0.4204,0.3778,0.4903
hu_to_he,45,0.4222,0.4995,0.3333,0.4767
hu_to_hi,45,0.3778,0.4903,0.2444,0.4346
hu_to_hr,45,0.4,0.4954,0.5111,0.5055
hu_to_id,45,0.3333,0.4767,0.3778,0.4903
hu_to_is,45,0.4,0.4954,0.2667,0.4472
hu_to_it,45,0.5111,0.5055,0.3778,0.4903
hu_to_ja,45,0.4667,0.5045,0.3333,0.4767
hu_to_ka,45,0.3556,0.4841,0.3556,0.4841
hu_to_ko,45,0.2667,0.4472,0.3111,0.4682
hu_to_lt,45,0.3778,0.4903,0.3778,0.4903
hu_to_lv,45,0.5111,0.5055,0.4444,0.5025
hu_to_ms,45,0.4,0.4954,0.2889,0.4584
hu_to_mt,45,0.2889,0.4584,0.2222,0.4204
hu_to_nl,45,0.3333,0.4767,0.3111,0.4682
hu_to_no,45,0.4,0.4954,0.4,0.4954
hu_to_pl,45,0.4444,0.5025,0.4667,0.5045
hu_to_pt,45,0.5333,0.5045,0.4,0.4954
hu_to_ro,45,0.4889,0.5055,0.4,0.4954
hu_to_ru,45,0.4889,0.5055,0.4667,0.5045
hu_to_sk,45,0.4889,0.5055,0.3333,0.4767
hu_to_sl,45,0.3778,0.4903,0.3333,0.4767
hu_to_sr,45,0.3778,0.4903,0.3556,0.4841
hu_to_sv,45,0.3778,0.4903,0.4444,0.5025
hu_to_sw,45,0.3556,0.4841,0.3778,0.4903
hu_to_ta,45,0.3111,0.4682,0.3333,0.4767
hu_to_th,45,0.3556,0.4841,0.4,0.4954
hu_to_tl,45,0.2889,0.4584,0.3111,0.4682
hu_to_tr,45,0.4222,0.4995,0.4222,0.4995
hu_to_uk,45,0.4444,0.5025,0.4222,0.4995
hu_to_uz,45,0.3333,0.4767,0.3333,0.4767
hu_to_vi,45,0.3333,0.4767,0.4444,0.5025
hu_to_zh,45,0.4222,0.4995,0.2667,0.4472
id_to_am,45,0.2889,0.4584,0.1556,0.3665
id_to_ar,45,0.3111,0.4682,0.3111,0.4682
id_to_bg,45,0.2889,0.4584,0.4222,0.4995
id_to_bn,45,0.4444,0.5025,0.3778,0.4903
id_to_bs,45,0.3556,0.4841,0.3333,0.4767
id_to_cs,45,0.3111,0.4682,0.3778,0.4903
id_to_cy,45,0.3333,0.4767,0.2,0.4045
id_to_da,45,0.5556,0.5025,0.4,0.4954
id_to_de,45,0.4667,0.5045,0.4,0.4954
id_to_el,45,0.4222,0.4995,0.4222,0.4995
id_to_en,45,0.4,0.4954,0.5333,0.5045
id_to_es,45,0.4667,0.5045,0.4222,0.4995
id_to_et,45,0.4444,0.5025,0.2889,0.4584
id_to_fa,45,0.3333,0.4767,0.3111,0.4682
id_to_fi,45,0.4444,0.5025,0.3556,0.4841
id_to_fr,45,0.4,0.4954,0.3778,0.4903
id_to_ga,45,0.1556,0.3665,0.3111,0.4682
id_to_he,45,0.4,0.4954,0.3333,0.4767
id_to_hi,45,0.3556,0.4841,0.3111,0.4682
id_to_hr,45,0.3333,0.4767,0.1778,0.3866
id_to_hu,45,0.3333,0.4767,0.3556,0.4841
id_to_is,45,0.2444,0.4346,0.2,0.4045
id_to_it,45,0.5556,0.5025,0.4444,0.5025
id_to_ja,45,0.5111,0.5055,0.3556,0.4841
id_to_ka,45,0.3111,0.4682,0.2889,0.4584
id_to_ko,45,0.3556,0.4841,0.4444,0.5025
id_to_lt,45,0.3778,0.4903,0.3778,0.4903
id_to_lv,45,0.4444,0.5025,0.3333,0.4767
id_to_ms,45,0.3333,0.4767,0.2667,0.4472
id_to_mt,45,0.2,0.4045,0.2667,0.4472
id_to_nl,45,0.3556,0.4841,0.3333,0.4767
id_to_no,45,0.3556,0.4841,0.5333,0.5045
id_to_pl,45,0.4444,0.5025,0.4667,0.5045
id_to_pt,45,0.6889,0.4682,0.4222,0.4995
id_to_ro,45,0.4,0.4954,0.3333,0.4767
id_to_ru,45,0.3556,0.4841,0.3778,0.4903
id_to_sk,45,0.4,0.4954,0.2889,0.4584
id_to_sl,45,0.2667,0.4472,0.3778,0.4903
id_to_sr,45,0.4444,0.5025,0.4667,0.5045
id_to_sv,45,0.3556,0.4841,0.4,0.4954
id_to_sw,45,0.3556,0.4841,0.1778,0.3866
id_to_ta,45,0.3111,0.4682,0.3556,0.4841
id_to_th,45,0.3556,0.4841,0.3778,0.4903
id_to_tl,45,0.4667,0.5045,0.3111,0.4682
id_to_tr,45,0.5333,0.5045,0.3778,0.4903
id_to_uk,45,0.4667,0.5045,0.4222,0.4995
id_to_uz,45,0.4,0.4954,0.3111,0.4682
id_to_vi,45,0.1778,0.3866,0.3111,0.4682
id_to_zh,45,0.4222,0.4995,0.4,0.4954
is_to_am,45,0.3333,0.4767,0.2,0.4045
is_to_ar,45,0.2889,0.4584,0.3556,0.4841
is_to_bg,45,0.4222,0.4995,0.4,0.4954
is_to_bn,45,0.4222,0.4995,0.4667,0.5045
is_to_bs,45,0.4222,0.4995,0.4667,0.5045
is_to_cs,45,0.4,0.4954,0.4222,0.4995
is_to_cy,45,0.3111,0.4682,0.1556,0.3665
is_to_da,45,0.4222,0.4995,0.5778,0.4995
is_to_de,45,0.3333,0.4767,0.3111,0.4682
is_to_el,45,0.3778,0.4903,0.3333,0.4767
is_to_en,45,0.4667,0.5045,0.4222,0.4995
is_to_es,45,0.4444,0.5025,0.3111,0.4682
is_to_et,45,0.2889,0.4584,0.2889,0.4584
is_to_fa,45,0.4222,0.4995,0.5111,0.5055
is_to_fi,45,0.4667,0.5045,0.4222,0.4995
is_to_fr,45,0.4889,0.5055,0.4444,0.5025
is_to_ga,45,0.2667,0.4472,0.3556,0.4841
is_to_he,45,0.4222,0.4995,0.4444,0.5025
is_to_hi,45,0.2889,0.4584,0.3333,0.4767
is_to_hr,45,0.2667,0.4472,0.4222,0.4995
is_to_hu,45,0.4222,0.4995,0.4222,0.4995
is_to_id,45,0.2667,0.4472,0.3556,0.4841
is_to_it,45,0.3778,0.4903,0.4667,0.5045
is_to_ja,45,0.4444,0.5025,0.4667,0.5045
is_to_ka,45,0.3778,0.4903,0.3111,0.4682
is_to_ko,45,0.4,0.4954,0.3556,0.4841
is_to_lt,45,0.3333,0.4767,0.3333,0.4767
is_to_lv,45,0.3333,0.4767,0.3111,0.4682
is_to_ms,45,0.4889,0.5055,0.3778,0.4903
is_to_mt,45,0.2222,0.4204,0.3111,0.4682
is_to_nl,45,0.3556,0.4841,0.3556,0.4841
is_to_no,45,0.3778,0.4903,0.4,0.4954
is_to_pl,45,0.3778,0.4903,0.3111,0.4682
is_to_pt,45,0.3778,0.4903,0.4,0.4954
is_to_ro,45,0.4222,0.4995,0.3778,0.4903
is_to_ru,45,0.3556,0.4841,0.3111,0.4682
is_to_sk,45,0.4,0.4954,0.3111,0.4682
is_to_sl,45,0.2,0.4045,0.2889,0.4584
is_to_sr,45,0.3778,0.4903,0.2889,0.4584
is_to_sv,45,0.3778,0.4903,0.3111,0.4682
is_to_sw,45,0.3778,0.4903,0.3111,0.4682
is_to_ta,45,0.4,0.4954,0.2,0.4045
is_to_th,45,0.4444,0.5025,0.2889,0.4584
is_to_tl,45,0.3556,0.4841,0.4222,0.4995
is_to_tr,45,0.4,0.4954,0.2667,0.4472
is_to_uk,45,0.4,0.4954,0.3778,0.4903
is_to_uz,45,0.2667,0.4472,0.2889,0.4584
is_to_vi,45,0.2444,0.4346,0.3778,0.4903
is_to_zh,45,0.6,0.4954,0.5778,0.4995
it_to_am,45,0.2889,0.4584,0.3111,0.4682
it_to_ar,45,0.3333,0.4767,0.3556,0.4841
it_to_bg,45,0.3556,0.4841,0.4222,0.4995
it_to_bn,45,0.2889,0.4584,0.4667,0.5045
it_to_bs,45,0.4667,0.5045,0.3778,0.4903
it_to_cs,45,0.5556,0.5025,0.5556,0.5025
it_to_cy,45,0.3111,0.4682,0.2444,0.4346
it_to_da,45,0.3778,0.4903,0.3111,0.4682
it_to_de,45,0.4889,0.5055,0.4222,0.4995
it_to_el,45,0.4444,0.5025,0.2889,0.4584
it_to_en,45,0.5333,0.5045,0.5778,0.4995
it_to_es,45,0.3556,0.4841,0.5333,0.5045
it_to_et,45,0.3333,0.4767,0.3333,0.4767
it_to_fa,45,0.3333,0.4767,0.3556,0.4841
it_to_fi,45,0.4889,0.5055,0.5333,0.5045
it_to_fr,45,0.4222,0.4995,0.3778,0.4903
it_to_ga,45,0.4222,0.4995,0.2444,0.4346
it_to_he,45,0.4444,0.5025,0.4222,0.4995
it_to_hi,45,0.3778,0.4903,0.3778,0.4903
it_to_hr,45,0.3333,0.4767,0.2889,0.4584
it_to_hu,45,0.4222,0.4995,0.4222,0.4995
it_to_id,45,0.4444,0.5025,0.5778,0.4995
it_to_is,45,0.3778,0.4903,0.3556,0.4841
it_to_ja,45,0.4444,0.5025,0.3778,0.4903
it_to_ka,45,0.3556,0.4841,0.1778,0.3866
it_to_ko,45,0.4,0.4954,0.3556,0.4841
it_to_lt,45,0.4444,0.5025,0.4444,0.5025
it_to_lv,45,0.4222,0.4995,0.3778,0.4903
it_to_ms,45,0.5333,0.5045,0.6,0.4954
it_to_mt,45,0.3556,0.4841,0.2889,0.4584
it_to_nl,45,0.3556,0.4841,0.4889,0.5055
it_to_no,45,0.3556,0.4841,0.3333,0.4767
it_to_pl,45,0.4,0.4954,0.5333,0.5045
it_to_pt,45,0.4,0.4954,0.4889,0.5055
it_to_ro,45,0.3333,0.4767,0.4444,0.5025
it_to_ru,45,0.3778,0.4903,0.3111,0.4682
it_to_sk,45,0.3333,0.4767,0.3333,0.4767
it_to_sl,45,0.5333,0.5045,0.4889,0.5055
it_to_sr,45,0.5111,0.5055,0.4222,0.4995
it_to_sv,45,0.4667,0.5045,0.3778,0.4903
it_to_sw,45,0.2,0.4045,0.2667,0.4472
it_to_ta,45,0.2889,0.4584,0.4,0.4954
it_to_th,45,0.3556,0.4841,0.4444,0.5025
it_to_tl,45,0.3556,0.4841,0.3111,0.4682
it_to_tr,45,0.4667,0.5045,0.5111,0.5055
it_to_uk,45,0.3333,0.4767,0.4,0.4954
it_to_uz,45,0.3333,0.4767,0.3556,0.4841
it_to_vi,45,0.3778,0.4903,0.3111,0.4682
it_to_zh,45,0.4889,0.5055,0.4667,0.5045
ja_to_am,45,0.3556,0.4841,0.2889,0.4584
ja_to_ar,45,0.4222,0.4995,0.3556,0.4841
ja_to_bg,45,0.4667,0.5045,0.6,0.4954
ja_to_bn,45,0.4,0.4954,0.3111,0.4682
ja_to_bs,45,0.2889,0.4584,0.3111,0.4682
ja_to_cs,45,0.4222,0.4995,0.4,0.4954
ja_to_cy,45,0.4444,0.5025,0.3333,0.4767
ja_to_da,45,0.4667,0.5045,0.4222,0.4995
ja_to_de,45,0.4667,0.5045,0.3556,0.4841
ja_to_el,45,0.4444,0.5025,0.5111,0.5055
ja_to_en,45,0.5556,0.5025,0.6444,0.4841
ja_to_es,45,0.4667,0.5045,0.3556,0.4841
ja_to_et,45,0.3778,0.4903,0.3556,0.4841
ja_to_fa,45,0.3556,0.4841,0.3778,0.4903
ja_to_fi,45,0.4444,0.5025,0.4889,0.5055
ja_to_fr,45,0.4444,0.5025,0.3778,0.4903
ja_to_ga,45,0.2444,0.4346,0.2222,0.4204
ja_to_he,45,0.4889,0.5055,0.4444,0.5025
ja_to_hi,45,0.4444,0.5025,0.4222,0.4995
ja_to_hr,45,0.3556,0.4841,0.4,0.4954
ja_to_hu,45,0.3778,0.4903,0.3333,0.4767
ja_to_id,45,0.4889,0.5055,0.4667,0.5045
ja_to_is,45,0.3111,0.4682,0.3556,0.4841
ja_to_it,45,0.4222,0.4995,0.4667,0.5045
ja_to_ka,45,0.2889,0.4584,0.2,0.4045
ja_to_ko,45,0.5778,0.4995,0.4222,0.4995
ja_to_lt,45,0.3556,0.4841,0.2889,0.4584
ja_to_lv,45,0.4444,0.5025,0.3111,0.4682
ja_to_ms,45,0.4222,0.4995,0.4667,0.5045
ja_to_mt,45,0.3111,0.4682,0.2222,0.4204
ja_to_nl,45,0.4444,0.5025,0.5111,0.5055
ja_to_no,45,0.4444,0.5025,0.4,0.4954
ja_to_pl,45,0.4222,0.4995,0.5556,0.5025
ja_to_pt,45,0.5333,0.5045,0.4,0.4954
ja_to_ro,45,0.5111,0.5055,0.2889,0.4584
ja_to_ru,45,0.4222,0.4995,0.5333,0.5045
ja_to_sk,45,0.4,0.4954,0.3333,0.4767
ja_to_sl,45,0.3111,0.4682,0.2667,0.4472
ja_to_sr,45,0.3333,0.4767,0.5556,0.5025
ja_to_sv,45,0.5556,0.5025,0.4889,0.5055
ja_to_sw,45,0.2444,0.4346,0.3111,0.4682
ja_to_ta,45,0.3556,0.4841,0.2222,0.4204
ja_to_th,45,0.4889,0.5055,0.4889,0.5055
ja_to_tl,45,0.2667,0.4472,0.3333,0.4767
ja_to_tr,45,0.3556,0.4841,0.4444,0.5025
ja_to_uk,45,0.4222,0.4995,0.2889,0.4584
ja_to_uz,45,0.3333,0.4767,0.4,0.4954
ja_to_vi,45,0.4889,0.5055,0.4889,0.5055
ja_to_zh,45,0.6222,0.4903,0.4222,0.4995
ka_to_am,45,0.3111,0.4682,0.2,0.4045
ka_to_ar,45,0.2889,0.4584,0.4222,0.4995
ka_to_bg,45,0.3556,0.4841,0.4222,0.4995
ka_to_bn,45,0.3333,0.4767,0.2444,0.4346
ka_to_bs,45,0.3333,0.4767,0.3333,0.4767
ka_to_cs,45,0.4667,0.5045,0.3778,0.4903
ka_to_cy,45,0.2889,0.4584,0.3333,0.4767
ka_to_da,45,0.3111,0.4682,0.3556,0.4841
ka_to_de,45,0.3111,0.4682,0.2889,0.4584
ka_to_el,45,0.4222,0.4995,0.4667,0.5045
ka_to_en,45,0.4,0.4954,0.5556,0.5025
ka_to_es,45,0.5333,0.5045,0.4444,0.5025
ka_to_et,45,0.2667,0.4472,0.2222,0.4204
ka_to_fa,45,0.3778,0.4903,0.4444,0.5025
ka_to_fi,45,0.3556,0.4841,0.2667,0.4472
ka_to_fr,45,0.4889,0.5055,0.5111,0.5055
ka_to_ga,45,0.3556,0.4841,0.2,0.4045
ka_to_he,45,0.2889,0.4584,0.3111,0.4682
ka_to_hi,45,0.4,0.4954,0.2222,0.4204
ka_to_hr,45,0.4444,0.5025,0.2889,0.4584
ka_to_hu,45,0.3333,0.4767,0.4,0.4954
ka_to_id,45,0.4,0.4954,0.4,0.4954
ka_to_is,45,0.4222,0.4995,0.3556,0.4841
ka_to_it,45,0.4444,0.5025,0.2889,0.4584
ka_to_ja,45,0.4,0.4954,0.2667,0.4472
ka_to_ko,45,0.3778,0.4903,0.4222,0.4995
ka_to_lt,45,0.3333,0.4767,0.4222,0.4995
ka_to_lv,45,0.4444,0.5025,0.4222,0.4995
ka_to_ms,45,0.3778,0.4903,0.3778,0.4903
ka_to_mt,45,0.3111,0.4682,0.3111,0.4682
ka_to_nl,45,0.2444,0.4346,0.3111,0.4682
ka_to_no,45,0.3111,0.4682,0.3556,0.4841
ka_to_pl,45,0.4667,0.5045,0.4222,0.4995
ka_to_pt,45,0.4222,0.4995,0.3111,0.4682
ka_to_ro,45,0.3333,0.4767,0.3333,0.4767
ka_to_ru,45,0.2667,0.4472,0.4222,0.4995
ka_to_sk,45,0.3333,0.4767,0.2222,0.4204
ka_to_sl,45,0.2222,0.4204,0.4222,0.4995
ka_to_sr,45,0.3778,0.4903,0.2889,0.4584
ka_to_sv,45,0.2667,0.4472,0.4444,0.5025
ka_to_sw,45,0.2667,0.4472,0.2444,0.4346
ka_to_ta,45,0.4667,0.5045,0.4444,0.5025
ka_to_th,45,0.4222,0.4995,0.4,0.4954
ka_to_tl,45,0.3778,0.4903,0.3333,0.4767
ka_to_tr,45,0.2444,0.4346,0.3778,0.4903
ka_to_uk,45,0.4222,0.4995,0.4889,0.5055
ka_to_uz,45,0.3778,0.4903,0.3333,0.4767
ka_to_vi,45,0.3111,0.4682,0.4222,0.4995
ka_to_zh,45,0.5556,0.5025,0.4,0.4954
ko_to_am,45,0.1778,0.3866,0.2222,0.4204
ko_to_ar,45,0.3111,0.4682,0.4444,0.5025
ko_to_bg,45,0.3333,0.4767,0.4,0.4954
ko_to_bn,45,0.1778,0.3866,0.2889,0.4584
ko_to_bs,45,0.4222,0.4995,0.3111,0.4682
ko_to_cs,45,0.4444,0.5025,0.3778,0.4903
ko_to_cy,45,0.2667,0.4472,0.2889,0.4584
ko_to_da,45,0.4222,0.4995,0.4667,0.5045
ko_to_de,45,0.4889,0.5055,0.4222,0.4995
ko_to_el,45,0.5111,0.5055,0.3556,0.4841
ko_to_en,45,0.5778,0.4995,0.4444,0.5025
ko_to_es,45,0.5556,0.5025,0.6444,0.4841
ko_to_et,45,0.2889,0.4584,0.2667,0.4472
ko_to_fa,45,0.2889,0.4584,0.3556,0.4841
ko_to_fi,45,0.3778,0.4903,0.4222,0.4995
ko_to_fr,45,0.5111,0.5055,0.5333,0.5045
ko_to_ga,45,0.3778,0.4903,0.2,0.4045
ko_to_he,45,0.3556,0.4841,0.4444,0.5025
ko_to_hi,45,0.4444,0.5025,0.3556,0.4841
ko_to_hr,45,0.3333,0.4767,0.4667,0.5045
ko_to_hu,45,0.4222,0.4995,0.3111,0.4682
ko_to_id,45,0.4667,0.5045,0.3778,0.4903
ko_to_is,45,0.3333,0.4767,0.3111,0.4682
ko_to_it,45,0.3556,0.4841,0.4444,0.5025
ko_to_ja,45,0.4444,0.5025,0.2444,0.4346
ko_to_ka,45,0.2667,0.4472,0.2889,0.4584
ko_to_lt,45,0.2889,0.4584,0.2444,0.4346
ko_to_lv,45,0.4444,0.5025,0.3333,0.4767
ko_to_ms,45,0.2889,0.4584,0.3778,0.4903
ko_to_mt,45,0.4444,0.5025,0.4,0.4954
ko_to_nl,45,0.3778,0.4903,0.3778,0.4903
ko_to_no,45,0.4,0.4954,0.2889,0.4584
ko_to_pl,45,0.4222,0.4995,0.3778,0.4903
ko_to_pt,45,0.5333,0.5045,0.4222,0.4995
ko_to_ro,45,0.3778,0.4903,0.2667,0.4472
ko_to_ru,45,0.4222,0.4995,0.3556,0.4841
ko_to_sk,45,0.3778,0.4903,0.4889,0.5055
ko_to_sl,45,0.4667,0.5045,0.3556,0.4841
ko_to_sr,45,0.4,0.4954,0.3556,0.4841
ko_to_sv,45,0.3556,0.4841,0.3778,0.4903
ko_to_sw,45,0.4222,0.4995,0.2667,0.4472
ko_to_ta,45,0.4667,0.5045,0.3778,0.4903
ko_to_th,45,0.4444,0.5025,0.3778,0.4903
ko_to_tl,45,0.4,0.4954,0.3556,0.4841
ko_to_tr,45,0.4667,0.5045,0.4444,0.5025
ko_to_uk,45,0.4,0.4954,0.2889,0.4584
ko_to_uz,45,0.3333,0.4767,0.2667,0.4472
ko_to_vi,45,0.3778,0.4903,0.5556,0.5025
ko_to_zh,45,0.3778,0.4903,0.3333,0.4767
lt_to_am,45,0.2444,0.4346,0.2,0.4045
lt_to_ar,45,0.3111,0.4682,0.3111,0.4682
lt_to_bg,45,0.4222,0.4995,0.3556,0.4841
lt_to_bn,45,0.4444,0.5025,0.3333,0.4767
lt_to_bs,45,0.2667,0.4472,0.2444,0.4346
lt_to_cs,45,0.4222,0.4995,0.4222,0.4995
lt_to_cy,45,0.2889,0.4584,0.4444,0.5025
lt_to_da,45,0.3111,0.4682,0.5111,0.5055
lt_to_de,45,0.4222,0.4995,0.5333,0.5045
lt_to_el,45,0.5111,0.5055,0.4222,0.4995
lt_to_en,45,0.6,0.4954,0.5111,0.5055
lt_to_es,45,0.5778,0.4995,0.6444,0.4841
lt_to_et,45,0.2889,0.4584,0.3111,0.4682
lt_to_fa,45,0.2222,0.4204,0.3333,0.4767
lt_to_fi,45,0.3333,0.4767,0.4,0.4954
lt_to_fr,45,0.4444,0.5025,0.4444,0.5025
lt_to_ga,45,0.3556,0.4841,0.3778,0.4903
lt_to_he,45,0.3333,0.4767,0.3111,0.4682
lt_to_hi,45,0.4444,0.5025,0.3111,0.4682
lt_to_hr,45,0.3778,0.4903,0.3556,0.4841
lt_to_hu,45,0.3333,0.4767,0.2667,0.4472
lt_to_id,45,0.3333,0.4767,0.4222,0.4995
lt_to_is,45,0.4222,0.4995,0.4222,0.4995
lt_to_it,45,0.3778,0.4903,0.3333,0.4767
lt_to_ja,45,0.4889,0.5055,0.4,0.4954
lt_to_ka,45,0.3333,0.4767,0.2667,0.4472
lt_to_ko,45,0.4,0.4954,0.4,0.4954
lt_to_lv,45,0.3556,0.4841,0.3333,0.4767
lt_to_ms,45,0.4,0.4954,0.3778,0.4903
lt_to_mt,45,0.3556,0.4841,0.2889,0.4584
lt_to_nl,45,0.4444,0.5025,0.3778,0.4903
lt_to_no,45,0.3778,0.4903,0.4222,0.4995
lt_to_pl,45,0.4,0.4954,0.3556,0.4841
lt_to_pt,45,0.4667,0.5045,0.4,0.4954
lt_to_ro,45,0.3111,0.4682,0.2667,0.4472
lt_to_ru,45,0.3778,0.4903,0.4,0.4954
lt_to_sk,45,0.3778,0.4903,0.2444,0.4346
lt_to_sl,45,0.3778,0.4903,0.2889,0.4584
lt_to_sr,45,0.2667,0.4472,0.2889,0.4584
lt_to_sv,45,0.5333,0.5045,0.4222,0.4995
